Season,Strategy,Condition,Item,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
3,Move,Asocial,SE,0,0.356651,0.506846,0.616513,0.690055,0.745983,0.781871,0.817765,0.84561,0.875498,0.916188,0.959203,1.01385,1.07895,1.14245,1.202,1.25849,1.30774,1.34712,1.37801,1.4046,1.42224,1.42976,1.43795,1.43585,1.43333,1.43795,1.44207,1.43953,1.44185
3,Move,Negative,M,280,282.062,323.741,335.352,349.274,401.563,419.039,437.265,490.692,509.137,528.351,580.068,597.825,616.521,665.938,680.945,696.889,736.646,748.025,760.417,791.147,799.441,808.959,830.161,835.388,842.355,857.437,860.833,865.694,877.21
3,Move,Negative,SE,0,0.360173,0.519337,0.626362,0.703655,0.762353,0.834303,0.899714,1.0445,1.12409,1.19141,1.32614,1.38843,1.42873,1.4787,1.50569,1.5222,1.51335,1.53724,1.53781,1.53502,1.54463,1.55003,1.53902,1.54062,1.54218,1.53012,1.53217,1.52868,1.51358
3,Move,Positive,M,280,282.222,324.549,336.244,351.313,405.184,421.786,440.408,496.979,514.747,533.406,590.356,607.145,625.525,681.179,695.503,711.852,760.191,770.481,782.611,822.315,827.523,835.97,868.484,870.428,875.588,901.461,900.642,904.073,925.383
3,Move,Positive,SE,0,0.358669,0.525424,0.637102,0.713358,0.781388,0.841565,0.904788,1.04242,1.13384,1.20901,1.35375,1.41487,1.4571,1.50508,1.53198,1.53716,1.5213,1.52252,1.52326,1.50632,1.50037,1.49046,1.45622,1.43714,1.41584,1.3558,1.34786,1.32092,1.24595
3,Mirror,Asocial,M,280,282.531,289.045,300.668,315.171,332.194,349.148,368.005,387.437,406.907,426.677,447.161,466.789,486.765,506.555,525.902,545.298,564.201,583.238,601.314,619.035,635.796,652.021,667.496,682.233,696.494,710.069,722.607,734.059,745.364
3,Mirror,Asocial,SE,0,0.356651,0.506846,0.616513,0.690055,0.745983,0.781871,0.817765,0.84561,0.875498,0.916188,0.959203,1.01385,1.07895,1.14245,1.202,1.25849,1.30774,1.34712,1.37801,1.4046,1.42224,1.42976,1.43795,1.43585,1.43333,1.43795,1.44207,1.43953,1.44185
3,Mirror,Negative,M,280,283.174,443.369,449.669,461.486,586.307,595.54,609.715,695.966,702.646,714.948,755.533,761.161,772.284,782.5,787.181,797.71,800.403,805.191,815.508,811.496,815.744,825.513,816.958,820.819,831.173,819.532,824.168,834.148,822.425
3,Mirror,Negative,SE,0,0.361538,1.16149,1.241,1.31501,1.81233,1.83673,1.8452,1.84446,1.84694,1.83741,1.81453,1.80646,1.78557,1.748,1.73487,1.71762,1.66893,1.65346,1.6366,1.61087,1.59508,1.57164,1.55705,1.54666,1.51147,1.53919,1.53035,1.51022,1.48424
3,Mirror,Positive,M,280,282.383,449.26,455.686,468.112,654.664,664.425,679.454,827.052,829.841,838.21,922.754,917.52,918.453,961.638,952.286,950.431,974.915,964.869,962.185,979.252,968.838,965.311,979.775,969.535,966.169,980.676,970.347,967.17,981.182
3,Mirror,Positive,SE,0,0.354263,1.16258,1.24734,1.31291,1.74624,1.77494,1.78347,1.5831,1.56904,1.53106,1.10325,1.0737,1.04472,0.646433,0.653067,0.656022,0.366219,0.407898,0.433563,0.254943,0.321726,0.365919,0.219428,0.294212,0.343124,0.205415,0.283794,0.330403,0.193521
